Date,Open,High,Low,Close,Adj Close,Volume
2022-03-08,34.400002,37.740002,34.130001,36.540001,36.540001,8070900
2022-03-09,38.009998,39.430000,37.470001,37.799999,37.799999,7336400
2022-03-10,36.830002,37.950001,36.610001,37.630001,37.630001,3869200
2022-03-11,38.070000,38.389999,37.180000,37.250000,37.250000,2798800
2022-03-14,37.060001,37.075001,35.080002,35.389999,35.389999,5478600
2022-03-15,35.750000,36.980000,34.959999,35.740002,35.740002,6629500
2022-03-16,36.759998,37.900002,36.209999,37.860001,37.860001,6779300
2022-03-17,37.849998,37.910000,36.615002,37.790001,37.790001,4810800
2022-03-18,37.610001,38.680000,37.529999,38.619999,38.619999,5562000
2022-03-21,37.910000,38.000000,36.220001,36.849998,36.849998,5596700
2022-03-22,37.139999,38.611000,36.869999,38.250000,38.250000,4818500
2022-03-23,37.980000,38.740002,37.529999,38.430000,38.430000,5154000
2022-03-24,38.430000,39.016998,37.119999,38.980000,38.980000,4886400
2022-03-25,39.000000,39.000000,37.209999,37.509998,37.509998,3394200
2022-03-28,37.540001,37.830002,36.500000,37.590000,37.590000,4280200
2022-03-29,38.040001,40.459000,38.040001,40.160000,40.160000,7119000
2022-03-30,39.750000,40.000000,38.215000,38.650002,38.650002,3777200
2022-03-31,38.799999,38.959999,37.630001,38.400002,38.400002,4736200
2022-04-01,38.400002,38.900002,37.240002,37.520000,37.520000,4260500
2022-04-04,37.930000,39.310001,37.660000,38.959999,38.959999,3527000
2022-04-05,38.980000,39.130001,37.029999,37.150002,37.150002,4198700
2022-04-06,36.380001,36.509998,34.889999,36.080002,36.080002,6662400
2022-04-07,36.090000,36.220001,33.599998,34.610001,34.610001,6403800
2022-04-08,34.195000,34.500000,33.369999,33.590000,33.590000,4705300
2022-04-11,32.930000,34.029999,32.349998,33.320000,33.320000,4052400
2022-04-12,33.619999,34.389999,33.130001,33.450001,33.450001,3880500
2022-04-13,33.560001,34.939999,33.403000,34.799999,34.799999,4059200
2022-04-14,35.060001,36.099998,34.770000,35.540001,35.540001,5632500
2022-04-18,35.290001,35.650002,34.384998,34.610001,34.610001,3041000
2022-04-19,34.959999,36.430000,34.855000,36.310001,36.310001,3967100
2022-04-20,36.500000,36.790001,35.611000,35.700001,35.700001,3289300
2022-04-21,36.590000,36.919998,33.970001,34.110001,34.110001,6109200
2022-04-22,34.139999,34.570000,32.869999,33.160000,33.160000,3653200
2022-04-25,32.849998,34.119999,32.709999,33.910000,33.910000,5292700
2022-04-26,33.360001,33.740002,32.400002,32.450001,32.450001,4226700
2022-04-27,32.070000,33.000000,31.520000,32.230000,32.230000,4989000
2022-04-28,32.900002,33.830002,31.879999,33.560001,33.560001,4543900
2022-04-29,33.259998,34.355000,32.560001,32.599998,32.599998,4723100
2022-05-02,32.259998,32.525002,29.930000,31.500000,31.500000,11738200
2022-05-03,31.389999,31.650000,30.059999,30.760000,30.760000,24562300
2022-05-04,22.270000,22.459999,20.020000,21.559999,21.559999,112518800
2022-05-05,21.600000,22.820000,21.209999,22.030001,22.030001,43122300
2022-05-06,21.705000,21.719999,19.590000,20.510000,20.510000,28942200
2022-05-09,19.850000,20.639999,18.400000,18.610001,18.610001,22056800
2022-05-10,18.945000,19.629999,18.200001,19.000000,19.000000,21736800
2022-05-11,18.950001,19.370001,17.520000,17.719999,17.719999,21542400
2022-05-12,17.264999,19.004999,17.240000,18.590000,18.590000,16174800
2022-05-13,18.860001,20.180000,18.860001,20.000000,20.000000,12841800
2022-05-16,19.850000,20.030001,19.115000,19.139999,19.139999,9447600
2022-05-17,19.510000,20.177999,19.129999,19.719999,19.719999,10205900
2022-05-18,19.530001,19.690001,18.120001,18.150000,18.150000,13838300
2022-05-19,18.209999,19.570000,18.170000,19.290001,19.290001,11638000
2022-05-20,19.480000,19.559999,18.025000,19.070000,19.070000,12774500
2022-05-23,19.200001,20.240000,18.680000,20.209999,20.209999,11299800
2022-05-24,19.750000,19.785000,16.570000,16.719999,16.719999,18054600
2022-05-25,16.770000,17.145000,16.330000,16.650000,16.650000,16228500
2022-05-26,16.799999,17.799999,16.610001,17.680000,17.680000,14710200
2022-05-27,17.959999,18.240000,17.680000,17.770000,17.770000,11974700
2022-05-31,17.680000,18.309999,17.358000,17.680000,17.680000,11197900
2022-06-01,17.629999,17.980000,16.975000,17.059999,17.059999,10384700
2022-06-02,17.010000,18.465000,17.000000,18.370001,18.370001,9383000
2022-06-03,17.969999,18.100000,17.309999,17.400000,17.400000,8264000
2022-06-06,17.778000,17.910000,16.770000,17.160000,17.160000,10924300
2022-06-07,16.900000,17.430000,16.770000,17.209999,17.209999,7785100
2022-06-08,17.250000,17.799000,17.209999,17.629999,17.629999,13225300
2022-06-09,17.389999,17.870001,16.910000,16.940001,16.940001,9674800
